Unnamed: 0,server_name,IP,logname,authenticate,date,petition,URL,status,bytes,referer,user-agent,level
15,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:24+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3134.166 Safari/537.36",0
16,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:25+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3134.166 Safari/537.36",0
17,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:26+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3134.166 Safari/537.36",0
18,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:26+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3134.166 Safari/537.36",0
19,www.sitgesanytime.com,89.247.174.98,-,-,2024-01-22 00:00:29+01:00,GET,/media/site1/cache/images/dji-0077-2-redim-enc.jpg HTTP/2.0,200,227390,https://www.google.com/,"Mozilla/5.0 (Linux; Android 12; SM-G973F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.211 Mobile Safari/537.36 GoogleApp/15.1.34.28.arm64",0
20,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:30+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3499.106 Safari/537.36",0
21,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:31+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3499.106 Safari/537.36",0
22,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:32+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3499.106 Safari/537.36",0
23,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:32+01:00,GET,/es/actualidad/agenda.htm HTTP/2.0,200,11515,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
24,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:32+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3499.106 Safari/537.36",0
25,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:33+01:00,GET,/media/site1/cache/images/aguila-cuabarrada-garraf-redim-w480-h480.jpg HTTP/2.0,200,34902,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
26,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:33+01:00,POST,/comu/cookies.php HTTP/2.0,200,278,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
27,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:33+01:00,GET,/plantilles/turisme/eltemps/wstemps.php?site=1&lang=es HTTP/2.0,200,454,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
28,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:36+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2464.68 Safari/537.36",0
29,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:37+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.2464.68 Safari/537.36",0
